cap-shape,cap-surface,cap-color,bruises%3F,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
'f','f','y','f','f','f','c','b','g','e','b','k','k','n','n','p','w','o','l','h','v','d'
'x','y','n','f','n','f','c','n','w','e',?,'k','y','w','n','p','w','o','e','w','v','d'
'b','s','b','t','n','f','c','b','w','e','b','s','s','w','w','p','w','t','p','r','v','g'
'f','f','y','f','f','f','c','b','p','e','b','k','k','n','b','p','w','o','l','h','v','d'
'f','y','g','f','f','f','c','b','h','e','b','k','k','n','b','p','w','o','l','h','y','d'
'f','y','u','f','n','f','c','n','u','e',?,'s','f','w','w','p','w','o','f','h','y','d'
'x','f','y','f','f','f','c','b','g','e','b','k','k','n','n','p','w','o','l','h','v','g'
'f','y','y','f','f','f','c','b','g','e','b','k','k','b','p','p','w','o','l','h','y','g'
'f','f','y','f','f','f','c','b','h','e','b','k','k','n','p','p','w','o','l','h','y','g'
'x','y','y','f','f','f','c','b','h','e','b','k','k','b','p','p','w','o','l','h','y','d'
'x','y','e','t','n','f','c','b','w','e',?,'s','s','e','w','p','w','t','e','w','c','w'
'f','f','g','f','f','f','c','b','g','e','b','k','k','p','p','p','w','o','l','h','v','g'
'x','y','y','f','f','f','c','b','g','e','b','k','k','b','n','p','w','o','l','h','v','g'
'x','y','y','f','f','f','c','b','p','e','b','k','k','b','b','p','w','o','l','h','v','p'
'f','y','g','f','f','f','c','b','g','e','b','k','k','b','n','p','w','o','l','h','v','p'
'k','s','b','t','n','f','c','b','w','e',?,'s','s','w','e','p','w','t','e','w','c','w'
'f','y','y','f','f','f','c','b','p','e','b','k','k','p','b','p','w','o','l','h','y','d'
'x','y','g','f','f','f','c','b','p','e','b','k','k','b','b','p','w','o','l','h','v','p'
'x','f','y','f','f','f','c','b','h','e','b','k','k','n','n','p','w','o','l','h','v','d'
'f','f','y','f','f','f','c','b','p','e','b','k','k','n','p','p','w','o','l','h','v','p'
'f','s','w','t','f','f','c','b','h','t','b','s','f','w','w','p','w','o','p','h','v','u'
'x','s','g','f','c','f','c','n','p','e','b','s','s','w','w','p','w','o','p','n','v','d'
'f','y','y','f','f','f','c','b','g','e','b','k','k','p','b','p','w','o','l','h','y','d'
'f','y','u','f','n','f','c','n','p','e',?,'s','f','w','w','p','w','o','f','h','v','d'
'x','f','y','f','f','f','c','b','g','e','b','k','k','p','p','p','w','o','l','h','y','d'
'f','y','g','f','f','f','c','b','g','e','b','k','k','n','p','p','w','o','l','h','y','d'
'x','f','y','f','f','f','c','b','g','e','b','k','k','n','p','p','w','o','l','h','v','g'
'x','f','y','f','f','f','c','b','h','e','b','k','k','n','b','p','w','o','l','h','v','p'
'x','s','g','t','f','f','c','b','p','t','b','f','s','w','w','p','w','o','p','h','s','u'
'f','y','g','f','f','f','c','b','g','e','b','k','k','p','n','p','w','o','l','h','y','d'
'f','f','y','f','f','f','c','b','h','e','b','k','k','p','n','p','w','o','l','h','y','p'
